"Reference","Value","Datasheet","Qty","Description","Manufacturer_Part_Number","Price"
"J3","694108301002","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/694108301002?qs=a9WhcLg8qCwpBR6w1flhOw%3D%3D&srsltid=AfmBOoprH2athC-B50XwA6svXtxN7ZZwMgzBne9QUqA8l4yvF5rTB4wq","1","DC Power Jack Right Angled 5A, 30 V(DC), Contact Resistance 50 m","694108301002","0.804"
"J4","691137710002","https://www.digikey.co.uk/en/products/detail/w%C3%BCrth-elektronik/691137710002/6644051?srsltid=AfmBOorub_rbRjT937XIOJ4mB1612cesZFvU4YD40-WtRam_6m6OzF3E","1","TERM BLK 2POS SIDE ENTRY 5MM PCB","691137710002","0.336"
"L1","ETQ-P5M220YSC","https://industrial.panasonic.com/cdbs/www-data/pdf/AGL0000/AGL0000C70.pdf","1","Series/Type: High Vibration Acceleration-resistant Power Choke Coil for Automotive-MS (MC type), Size [L] (mm): 10.910.0, Height (mm): 5.6, Inductance (H): 20, DC Resistance [Typ.] (at 20) (m): 45.5, DC Resistance [max.] (at 20) (m): 50, Rated Current [Typ.] (T=40K, FR4, t=1.6 mm,Four-layer PWB) (A): 5.2, Rated Current [Typ.] (T=40K, High heat dissipation PWB) (A): 6.2, Rated Current [Typ.] (L=30%)  (A): 7.9, Weight (Typ.) (g): 3.1, AEC-Q200 compliant","ETQ-P5M220YSC","1.20"
"L2","MSD1583-223MEB","https://uk.farnell.com/coilcraft/msd1583-223meb/inductor-22uh-3-45a-20-pwr-10/dp/2288154","1","INDUCTOR, 22UH, 3.45A, 20%, PWR, 10.5MHZ","MSD1583-223MEB","3.84"
"Q1,Q3","2N7002","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/2N7002-H6327?qs=CVg1V728NXGZyf6kD1tkzQ%3D%3D&mgh=1&vip=1&utm_id=20808080842&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x70kCIU17Y9chiVxNH_Vom0j4sKZ5ToqWr6DV3ByRFWQx4h5b8ahzcaAj4GEALw_wcB","2","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","2N7002 H6327","0.21"
"Q2,Q4","SIS413DN-T1-GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SIS413DN-T1-GE3?qs=vgn07B5hXav8x6TX%252BtAIoQ%3D%3D","2","P-Ch PowerPAK1212 Cu 30V 9.4mohm@10V","SIS413DN-T1-GE3","0.58"
"R1,R2,R3","3k24","https://www.digikey.co.uk/en/products/detail/yageo/RC0603FR-073K24L/727125","3","RES 3.24K OHM 1% 1/10W 0603","RC0603FR-073K24L","0.08"
"R4,R6","100k","https://www.digikey.co.uk/en/products/detail/rohm-semiconductor/ESR03EZPF1003/1983430","2","RES 100K OHM 1% 1/4W 0603","ESR03EZPF1003","0.12"
"R5","4.81k","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RN73H1JTTD4811B25?qs=582LK1XNA7LTNwR5VHugwg%3D%3D&srsltid=AfmBOoo6gri6g2xu2rXc1ABkOav6S-9c3aTxtg7NNutX6ztjQHESnNk1","1","Thin Film Resistors - SMD 4.81kOhm,0603,0.1%,2","RN73H1JTTD4811B25","0.18"
"R7","1k","https://www.digikey.co.uk/en/products/detail/vishay-dale/CRCW06031K00JNEAIF/3477274?srsltid=AfmBOoqM_C78zLfiw-YdUpmN3JS4P2_NqO2IPeLygIKGkpOp0cehDR8Q","1","RES SMD 1K OHM 5% 1/10W 0603","CRCW06031K00JNEAIF","0.336"
